Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
screened,41,37,40,37,0.8,0.44,1.6232,1.5798
screener,12,9,12,9,0.24,0.11,1.1139,1
screeners,5,5,5,5,0.1,0.06,0.7782,0.7782
screening,173,124,172,123,3.39,1.48,2.2405,2.0969
screenings,15,12,15,12,0.29,0.14,1.2041,1.1139
screenplay,133,71,111,52,2.61,0.85,2.1271,1.8573
screenplays,21,19,20,19,0.41,0.23,1.3424,1.301
screens,93,80,91,78,1.82,0.95,1.9731,1.9085
screenwriter,28,20,27,20,0.55,0.24,1.4624,1.3222
screenwriters,6,5,5,4,0.12,0.06,0.8451,0.7782
screenwriting,8,6,6,5,0.16,0.07,0.9542,0.8451
screw,1912,1340,1318,998,37.49,15.98,3.2817,3.1274
screwball,57,41,42,36,1.12,0.49,1.7634,1.6232
screwballs,7,6,7,6,0.14,0.07,0.9031,0.8451
screwdriver,128,84,108,74,2.51,1,2.1106,1.9294
screwdrivers,3,2,3,2,0.06,0.02,0.6021,0.4771
screwed,1519,1124,1500,1116,29.78,13.4,3.1818,3.0512
screwier,4,4,4,4,0.08,0.05,0.699,0.699
screwiest,4,3,3,2,0.08,0.04,0.699,0.6021
screwing,504,416,483,403,9.88,4.96,2.7033,2.6201
Screwless,3,1,1,1,0.06,0.01,0.6021,0.301
screws,178,150,170,145,3.49,1.79,2.2529,2.179
screwy,90,74,85,71,1.76,0.88,1.959,1.8751
scribble,32,22,28,21,0.63,0.26,1.5185,1.3617
scribbled,26,25,26,25,0.51,0.3,1.4314,1.415
scribbler,7,6,6,5,0.14,0.07,0.9031,0.8451
scribblers,2,2,2,2,0.04,0.02,0.4771,0.4771
scribbles,4,4,4,4,0.08,0.05,0.699,0.699
scribbling,30,26,29,26,0.59,0.31,1.4914,1.4314
scribbly,2,2,2,2,0.04,0.02,0.4771,0.4771
scribe,13,8,11,7,0.25,0.1,1.1461,0.9542
scribes,6,5,6,5,0.12,0.06,0.8451,0.7782
scrimmage,40,28,36,27,0.78,0.33,1.6128,1.4624
scrimmages,2,2,2,2,0.04,0.02,0.4771,0.4771
scrimmaging,4,4,4,4,0.08,0.05,0.699,0.699
scrimp,6,6,6,6,0.12,0.07,0.8451,0.8451
scrimped,4,4,3,3,0.08,0.05,0.699,0.699
scrimping,6,5,5,4,0.12,0.06,0.8451,0.7782
Scrimshaw,8,2,1,1,0.16,0.02,0.9542,0.4771
scrip,36,17,33,17,0.71,0.2,1.5682,1.2553
scrips,7,4,6,3,0.14,0.05,0.9031,0.699
script,1000,404,916,338,19.61,4.82,3.0004,2.6075
scripted,17,15,17,15,0.33,0.18,1.2553,1.2041
scripts,119,72,119,72,2.33,0.86,2.0792,1.8633
scripture,69,56,49,41,1.35,0.67,1.8451,1.7559
scriptures,36,32,24,22,0.71,0.38,1.5682,1.5185
scriptwriter,2,2,2,2,0.04,0.02,0.4771,0.4771
Scrivello,2,1,0,0,0.04,0.01,0.4771,0.301
Scrivener,2,2,0,0,0.04,0.02,0.4771,0.4771
scrod,3,3,3,3,0.06,0.04,0.6021,0.6021
scroll,116,48,102,39,2.27,0.57,2.0682,1.6902
scrolling,3,3,3,3,0.06,0.04,0.6021,0.6021
scrolls,118,29,109,24,2.31,0.35,2.0755,1.4771
scrollwork,3,3,3,3,0.06,0.04,0.6021,0.6021
Scrooge,197,19,7,4,3.86,0.23,2.2967,1.301
Scroop,7,2,0,0,0.14,0.02,0.9031,0.4771
scrotal,2,2,2,2,0.04,0.02,0.4771,0.4771
scrotum,29,24,24,22,0.57,0.29,1.4771,1.3979
scrounge,45,43,44,43,0.88,0.51,1.6628,1.6435
scrounged,12,10,11,9,0.24,0.12,1.1139,1.0414
Scrounger,22,8,7,6,0.43,0.1,1.3617,0.9542
scrounges,2,2,2,2,0.04,0.02,0.4771,0.4771
scrounging,21,19,17,17,0.41,0.23,1.3424,1.301
scroungy,4,4,4,4,0.08,0.05,0.699,0.699
scrub,318,216,234,191,6.24,2.58,2.5038,2.3365
scrubbed,78,67,74,65,1.53,0.8,1.8976,1.8325
scrubber,13,10,13,10,0.25,0.12,1.1461,1.0414
scrubbers,4,3,4,3,0.08,0.04,0.699,0.6021
scrubbing,97,91,86,81,1.9,1.08,1.9912,1.9638
scrubby,6,4,6,4,0.12,0.05,0.8451,0.699
scrubs,36,31,34,29,0.71,0.37,1.5682,1.5051
scruff,12,12,12,12,0.24,0.14,1.1139,1.1139
scruffy,28,22,19,19,0.55,0.26,1.4624,1.3617
scrum,5,3,3,2,0.1,0.04,0.7782,0.6021
scrumptious,38,37,29,28,0.75,0.44,1.5911,1.5798
scrumpy,2,2,1,1,0.04,0.02,0.4771,0.4771
scrunch,11,9,8,7,0.22,0.11,1.0792,1
scrunched,4,3,4,3,0.08,0.04,0.699,0.6021
scrunchie,6,5,6,5,0.12,0.06,0.8451,0.7782
scrunchies,5,4,5,4,0.1,0.05,0.7782,0.699
scrunching,2,1,2,1,0.04,0.01,0.4771,0.301
scrunchy,8,3,6,3,0.16,0.04,0.9542,0.6021
scruple,5,4,5,4,0.1,0.05,0.7782,0.699
scruples,48,37,42,37,0.94,0.44,1.6902,1.5798
scrupulous,8,8,8,8,0.16,0.1,0.9542,0.9542
scrupulously,7,7,7,7,0.14,0.08,0.9031,0.9031
scrutinise,2,2,2,2,0.04,0.02,0.4771,0.4771
scrutinised,3,3,3,3,0.06,0.04,0.6021,0.6021
scrutinize,11,11,10,10,0.22,0.13,1.0792,1.0792
scrutinized,13,12,13,12,0.25,0.14,1.1461,1.1139
scrutinizing,5,5,4,4,0.1,0.06,0.7782,0.7782
scrutiny,58,53,57,53,1.14,0.63,1.7709,1.7324
scry,15,11,14,11,0.29,0.13,1.2041,1.0792
scrying,20,14,16,12,0.39,0.17,1.3222,1.1761
scuba,78,55,68,49,1.53,0.66,1.8976,1.7482
Scud,31,18,5,5,0.61,0.21,1.5051,1.2788
Scudder,3,2,0,0,0.06,0.02,0.6021,0.4771
scudding,2,1,2,1,0.04,0.01,0.4771,0.301
